# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_2S_04
 # Operator: Dominic
 # Date: Tue Feb 26 11:16:57 2019


voltage[V]              current[A]              voltage[V]              capacitance[F]          temperature[deg]        humidity[rel%]          
-359.967                -1.96371e-07            --                      --                      21.3                    19.4                    
-364.968                -1.98107333333e-07      --                      --                      21.3                    19.4                    
-369.969                -1.98907666667e-07      --                      --                      21.3                    19.4                    
-374.963                -2.00597333333e-07      --                      --                      21.3                    19.4                    
-379.964                -2.01763666667e-07      --                      --                      21.3                    19.4                    
-384.965666667          -2.03275e-07            --                      --                      21.3                    19.4                    
-389.965                -2.04085333333e-07      --                      --                      21.3                    19.4                    
-394.966                -2.05694e-07            --                      --                      21.3                    19.4                    
-399.967                -2.07316666667e-07      --                      --                      21.2                    19.5                    
-404.968                -2.08404e-07            --                      --                      21.2                    19.5                    
-409.961                -2.09367666667e-07      --                      --                      21.2                    19.5                    
-414.962                -2.11669666667e-07      --                      --                      21.2                    19.5                    
-419.961                -2.12769333333e-07      --                      --                      21.2                    19.5                    
-424.961                -2.14454e-07            --                      --                      21.2                    19.5                    
-429.964                -2.16205e-07            --                      --                      21.2                    19.5                    
-434.964666667          -2.17454666667e-07      --                      --                      21.2                    19.5                    
-439.965                -2.19085333333e-07      --                      --                      21.2                    19.5                    
-444.959                -2.20888666667e-07      --                      --                      21.2                    19.5                    
-449.96                 -2.22618333333e-07      --                      --                      21.2                    19.5                    
-454.959666667          -2.24359e-07            --                      --                      21.2                    19.5                    
-459.96                 -2.26753333333e-07      --                      --                      21.2                    19.5                    
-464.961                -2.28138666667e-07      --                      --                      21.2                    19.5                    
-469.962333333          -2.3032e-07             --                      --                      21.2                    19.5                    
-474.963333333          -2.32551e-07            --                      --                      21.2                    19.5                    
-479.957333333          -2.34749e-07            --                      --                      21.2                    19.5                    
-484.957333333          -2.36373666667e-07      --                      --                      21.2                    19.5                    
-489.958                -2.38924e-07            --                      --                      21.2                    19.5                    
-494.959                -2.40777e-07            --                      --                      21.2                    19.6                    
-499.961                -2.43664333333e-07      --                      --                      21.2                    19.6                    
-504.871666667          -2.46096e-07            --                      --                      21.2                    19.6                    
-509.888333333          -2.48295666667e-07      --                      --                      21.2                    19.6                    
-514.879333333          -2.50107666667e-07      --                      --                      21.2                    19.6                    
-519.875                -2.52827333333e-07      --                      --                      21.2                    19.6                    
-524.888666667          -2.5577e-07             --                      --                      21.2                    19.7                    
-529.881333333          -2.59111333333e-07      --                      --                      21.2                    19.7                    
-534.877333333          -2.60592333333e-07      --                      --                      21.2                    19.7                    
-539.894333333          -2.63849666667e-07      --                      --                      21.2                    19.7                    
