# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_18_2S_side1
 # Operator: Dominic
 # Date: Tue Mar 12 15:26:37 2019


# implant_width: 22
# implant_length: 0
# metal_width: 32
# Campaign: Hamamatsu 6inch 2S
# Creator: Dominic Bloech 03.12.2018
# type: p-type
# pitch: 90
# metal_length: 49504
# thickness: 240


Pad                     Istrip                  Rpoly                   Idark                   Cac                     Cint                    Idiel                   Rint                    Temperature             Humidity                
#                       current[A]              res[Ohm]                current[A]              cap[F]                  cap[F]                  current[A]              res[Ohm]                degree[C]               rel. percent[rel%]      
39.0                    -1.99189966667e-10      1938572.79273           -2.17627333333e-07      1.45437333333e-10       2.08644e-12             -6.41729e-12            --                      22.3                    18.4                    
40.0                    -1.99218666667e-10      1928816.4577            -2.17113666667e-07      1.45425666667e-10       2.08923333333e-12       5.60217333333e-11       --                      22.3                    18.4                    
41.0                    -1.917943e-10           1936084.78534           -2.17357666667e-07      1.45402666667e-10       2.09398e-12             2.53627e-11             --                      22.3                    18.5                    
42.0                    -1.942843e-10           1930772.60258           -2.16484666667e-07      1.45429666667e-10       2.09585e-12             -1.85166933333e-11      --                      22.3                    18.5                    
43.0                    -1.95359833333e-10      1936390.07591           -2.17050333333e-07      1.45461333333e-10       2.09016333333e-12       3.52863666667e-11       --                      22.3                    18.5                    
44.0                    -2.11483233333e-10      1935602.81651           -2.16036333333e-07      1.45403e-10             2.08950666667e-12       5.60082e-11             --                      22.3                    18.4                    
45.0                    -1.95547866667e-10      1933303.28397           -2.16786666667e-07      1.4541e-10              2.09265e-12             -1.30402833333e-11      --                      22.3                    18.4                    
46.0                    -1.958259e-10           1935201.80307           -2.16049666667e-07      1.45470333333e-10       2.10021666667e-12       5.16172e-12             --                      22.3                    18.4                    
47.0                    -1.93272066667e-10      1930768.8291            -2.16761e-07            1.45424666667e-10       2.10200666667e-12       -3.08373333333e-11      --                      22.3                    18.5                    
48.0                    -2.12597266667e-10      1939250.38541           -2.16972666667e-07      1.45491e-10             2.09334e-12             1.30436333333e-11       --                      22.3                    18.5                    
49.0                    -2.105129e-10           1931598.16678           -2.16239e-07            1.45431333333e-10       2.09418e-12             4.58411333333e-11       --                      22.3                    18.6                    
50.0                    -2.08499533333e-10      1941739.5276            -2.1629e-07             1.45352e-10             2.08792666667e-12       -1.0909e-11             --                      22.3                    18.5                    
51.0                    -1.950103e-10           1934723.99988           -2.16484333333e-07      1.45425333333e-10       2.0885e-12              -4.44524133333e-11      --                      22.3                    18.5                    
52.0                    -2.049598e-10           1933572.85156           -2.15617333333e-07      1.45418666667e-10       2.09166333333e-12       4.41313366667e-11       --                      22.3                    18.5                    
53.0                    -2.04933233333e-10      1933065.16957           -2.15875e-07            1.45418666667e-10       2.09197333333e-12       2.08748166667e-11       --                      22.3                    18.5                    
54.0                    -1.962969e-10           1930015.8133            -2.16446e-07            1.45432666667e-10       2.09297666667e-12       6.16335966667e-11       --                      22.3                    18.5                    
55.0                    -2.09728466667e-10      1939316.19173           -2.15886333333e-07      1.45452666667e-10       2.09161333333e-12       -1.52596333333e-11      2.61921687254e+11       22.3                    18.5                    
56.0                    -2.01736466667e-10      1931357.25754           -2.15494333333e-07      1.45372666667e-10       2.0943e-12              3.400008e-11            --                      22.3                    18.5                    
57.0                    -2.02577033333e-10      1942655.81923           -2.14748333333e-07      1.4544e-10              2.09501666667e-12       4.84650666667e-12       --                      22.3                    18.5                    
58.0                    -1.882853e-10           1931338.41616           -2.15128e-07            1.45430333333e-10       2.09039666667e-12       5.33827833333e-11       --                      22.3                    18.5                    
59.0                    -2.04590766667e-10      1936640.82307           -2.15520333333e-07      1.45429666667e-10       2.09913e-12             -3.26346666667e-13      --                      22.3                    18.5                    
60.0                    -2.22101233333e-10      1934404.47789           -2.1541e-07             1.45387e-10             2.09092e-12             -1.28484736667e-11      --                      22.3                    18.5                    
61.0                    -2.04661366667e-10      1937984.35103           -2.15614666667e-07      1.45412666667e-10       2.09150666667e-12       2.81678666667e-11       --                      22.3                    18.5                    
62.0                    -2.02246566667e-10      1939664.46069           -2.14406666667e-07      1.45468666667e-10       2.09649e-12             6.292e-11               --                      22.3                    18.5                    
63.0                    -2.00391466667e-10      1931698.83099           -2.15542e-07            1.45418666667e-10       2.09242e-12             5.776027e-11            --                      22.3                    18.5                    
64.0                    -1.88902866667e-10      1940819.5076            -2.1415e-07             1.45490333333e-10       2.0952e-12              8.74928e-12             --                      22.3                    18.5                    
65.0                    -2.093422e-10           1931287.52781           -2.14868666667e-07      1.45412333333e-10       2.09917666667e-12       2.65602666667e-12       --                      22.3                    18.5                    
66.0                    -1.895441e-10           1938486.06349           -2.14796e-07            1.45414e-10             2.09014e-12             3.85572333333e-11       --                      22.3                    18.6                    
67.0                    -2.024633e-10           1933876.74441           -2.14186666667e-07      1.45406333333e-10       2.09657666667e-12       1.40573466667e-11       --                      22.3                    18.6                    
68.0                    -2.024165e-10           1933297.68485           -2.14748e-07            1.45441666667e-10       2.09339666667e-12       6.02123956667e-11       --                      22.3                    18.6                    
69.0                    -2.00416566667e-10      1933849.51822           -2.15041666667e-07      1.45436666667e-10       2.09590666667e-12       3.9599363e-11           --                      22.3                    18.6                    
70.0                    -1.97422766667e-10      1930696.82441           -2.14426333333e-07      1.45418e-10             2.09607e-12             -1.68193733333e-11      --                      22.3                    18.6                    
71.0                    -1.90103533333e-10      1938689.97714           -2.14357333333e-07      1.45444333333e-10       2.10617e-12             4.088476e-11            --                      22.3                    18.6                    
72.0                    -2.021075e-10           1931018.38783           -2.13873666667e-07      1.45374e-10             2.09703666667e-12       3.44104666667e-11       --                      22.3                    18.6                    
73.0                    -1.94637366667e-10      1937270.67458           -2.1389e-07             1.45397333333e-10       2.09707333333e-12       2.03405333333e-11       --                      22.3                    18.6                    
74.0                    -1.982907e-10           1930251.98163           -2.14224e-07            1.45415333333e-10       2.08591333333e-12       2.96614666667e-11       --                      22.3                    18.6                    
75.0                    -1.86161733333e-10      1934284.59605           -2.13628666667e-07      1.45454333333e-10       2.09747666667e-12       8.965193e-11            --                      22.3                    18.6                    
76.0                    -2.098674e-10           1934779.98827           -2.13987e-07            1.45365e-10             2.10058333333e-12       8.3286e-11              --                      22.3                    18.6                    
77.0                    -1.99413233333e-10      1932951.75368           -2.14128666667e-07      1.45431e-10             2.08725e-12             5.87724666667e-11       --                      22.3                    18.7                    
78.0                    -1.99543533333e-10      1937192.76319           -2.14517666667e-07      1.45445333333e-10       2.09752666667e-12       3.62471933333e-11       --                      22.3                    18.7                    
79.0                    -1.99395933333e-10      1931380.97954           -2.13969333333e-07      1.45377e-10             2.08511666667e-12       1.95062983333e-11       --                      22.3                    18.8                    
80.0                    -1.93610266667e-10      1937827.43045           -2.14582666667e-07      1.45457333333e-10       2.1004e-12              8.88277333333e-11       --                      22.3                    18.8                    
81.0                    -1.87762e-10            1932197.37277           -2.13614e-07            1.45395666667e-10       2.09080333333e-12       4.16231926667e-11       --                      22.3                    18.9                    
82.0                    -1.943488e-10           1939105.92868           -2.13667666667e-07      1.45378333333e-10       2.09558e-12             7.00935666667e-12       --                      22.3                    18.9                    
83.0                    -1.82128733333e-10      1932015.32535           -2.13317333333e-07      1.45355333333e-10       2.09357e-12             2.4858011e-11           --                      22.3                    18.9                    
84.0                    -1.959435e-10           1933154.89388           -2.13530666667e-07      1.45387666667e-10       2.10118666667e-12       -1.42334533333e-11      --                      22.3                    18.9                    
85.0                    -1.993005e-10           1932938.38005           -2.14358666667e-07      1.45413666667e-10       2.08965666667e-12       1.02829966667e-11       --                      22.3                    18.9                    
86.0                    -1.95820466667e-10      1928022.12854           -2.12913666667e-07      1.45416333333e-10       2.09885e-12             6.29367e-11             --                      22.3                    18.9                    
87.0                    -1.970533e-10           1937091.35673           -2.13594333333e-07      1.45410333333e-10       2.09930666667e-12       -5.28213666667e-12      --                      22.3                    18.9                    
88.0                    -1.977099e-10           1928955.20348           -2.13451333333e-07      1.45366e-10             2.09106333333e-12       -5.43214e-12            --                      22.3                    18.9                    
89.0                    -1.84310933333e-10      1935966.52966           -2.12809666667e-07      1.45398666667e-10       2.08828e-12             1.10493e-11             --                      22.3                    19.0                    
90.0                    -2.01656966667e-10      1928113.58947           -2.13225333333e-07      1.45434666667e-10       2.09181e-12             8.070262e-11            --                      22.3                    19.0                    
91.0                    -1.86722233333e-10      1930723.16442           -2.13849333333e-07      1.45412666667e-10       2.09651666667e-12       -1.30113633333e-11      --                      22.3                    19.1                    
92.0                    -1.97720633333e-10      1930075.99962           -2.13338e-07            1.4537e-10              2.09827333333e-12       2.69655466667e-11       --                      22.3                    19.1                    
93.0                    -1.90461366667e-10      1928406.72293           -2.13355666667e-07      1.45377333333e-10       2.08616333333e-12       2.967571e-11            --                      22.3                    19.2                    
94.0                    -1.797464e-10           1930352.54457           -2.12626333333e-07      1.45389e-10             2.09853666667e-12       2.75536466667e-11       --                      22.3                    19.2                    
95.0                    -1.98141233333e-10      1927344.41411           -2.13231333333e-07      1.45366333333e-10       2.09689333333e-12       8.35611533333e-11       --                      22.3                    19.3                    
96.0                    -1.886803e-10           1935320.4811            -2.12827e-07            1.45404333333e-10       2.09182e-12             4.93703e-11             --                      22.3                    19.3                    
97.0                    -1.87008566667e-10      1925747.69528           -2.13172666667e-07      1.45364666667e-10       2.09323666667e-12       9.54182166667e-12       --                      22.3                    19.5                    
98.0                    -1.809932e-10           1934735.6645            -2.12847333333e-07      1.45331e-10             2.09455e-12             -1.18973333333e-12      --                      22.3                    19.6                    
99.0                    -1.95125933333e-10      1927261.64782           -2.12829e-07            1.45338e-10             2.08913e-12             2.14083e-11             --                      22.3                    19.6                    
100.0                   -1.87624066667e-10      1930645.51412           -2.13002e-07            1.45373e-10             2.0852e-12              1.53590266667e-11       --                      22.3                    19.8                    
101.0                   -1.87645033333e-10      1926972.91038           -2.13383e-07            1.45370666667e-10       2.09271333333e-12       1.3116519e-10           --                      22.3                    19.9                    
102.0                   -1.90625566667e-10      1924870.23176           -2.12812e-07            1.45355e-10             2.09593666667e-12       5.242587e-11            --                      22.3                    20.1                    
103.0                   -1.89654133333e-10      1933631.03128           -2.13396666667e-07      1.45373666667e-10       2.08953333333e-12       1.29634003333e-11       --                      22.3                    20.2                    
104.0                   -1.841838e-10           1927442.89184           -2.12595e-07            1.45328333333e-10       2.08359333333e-12       5.58848666667e-11       --                      22.3                    20.2                    
105.0                   -1.94469533333e-10      1936602.61331           -2.12939e-07            1.45377e-10             2.09368333333e-12       1.57417933333e-11       2.60020798623e+11       22.2                    20.6                    
106.0                   -1.906034e-10           1928207.45074           -2.12521e-07            1.45338333333e-10       2.09209666667e-12       9.82769333333e-12       --                      22.3                    20.7                    
107.0                   -1.83085933333e-10      1927868.11752           -2.12023333333e-07      1.45340333333e-10       2.08725e-12             5.43257166667e-11       --                      22.3                    20.7                    
108.0                   -1.78709333333e-10      1930030.13873           -2.13004e-07            1.45304333333e-10       2.09491666667e-12       6.48985666667e-12       --                      22.3                    20.9                    
109.0                   -1.882379e-10           1926462.20335           -2.12742666667e-07      1.45339333333e-10       2.0906e-12              6.02673776667e-11       --                      22.3                    21.1                    
110.0                   -1.77876933333e-10      1931545.67464           -2.11932333333e-07      1.45353333333e-10       2.09369333333e-12       4.33226933333e-11       --                      22.3                    21.2                    
111.0                   -1.86672033333e-10      1928952.20992           -2.12055333333e-07      1.45315333333e-10       2.10173666667e-12       3.9874933e-11           --                      22.3                    21.3                    
112.0                   -1.83355e-10            1932452.61955           -2.12247e-07            1.45359333333e-10       2.08926666667e-12       1.56457033333e-11       --                      22.3                    21.5                    
113.0                   -1.91993333333e-10      1929827.58367           -2.11783e-07            1.45326e-10             2.08522666667e-12       2.46518333333e-11       --                      22.3                    21.5                    
114.0                   -1.88565166667e-10      1934834.50992           -2.12133e-07            1.45309e-10             2.08675333333e-12       7.37054566667e-11       --                      22.2                    21.6                    
115.0                   -1.94281266667e-10      1928996.02735           -2.12078333333e-07      1.45283666667e-10       2.08705333333e-12       3.66837e-11             --                      22.2                    21.6                    
116.0                   -1.89757166667e-10      1933534.95692           -2.12103e-07            1.45339e-10             2.09603666667e-12       2.49938066667e-11       --                      22.2                    21.6                    
