# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_2S_20
 # Operator: Dominic
 # Date: Tue Feb 26 09:50:37 2019


voltage[V]              current[A]              voltage[V]              capacitance[F]          temperature[deg]        humidity[rel%]          
-354.967                -2.34866666667e-07      --                      --                      21.9                    19.9                    
-359.967333333          -2.36572666667e-07      --                      --                      21.9                    19.9                    
-364.968333333          -2.38093666667e-07      --                      --                      21.9                    19.9                    
-369.97                 -2.38674666667e-07      --                      --                      21.9                    19.9                    
-374.963                -2.39654333333e-07      --                      --                      21.9                    20.1                    
-379.964333333          -2.4071e-07             --                      --                      21.9                    20.1                    
-384.965333333          -2.41744e-07            --                      --                      21.9                    20.1                    
-389.965                -2.43577e-07            --                      --                      21.9                    20.1                    
-394.965666667          -2.44271666667e-07      --                      --                      21.9                    20.1                    
-399.967                -2.45380666667e-07      --                      --                      21.9                    20.1                    
-404.968333333          -2.46298666667e-07      --                      --                      21.9                    20.1                    
-409.961                -2.47591e-07            --                      --                      21.9                    20.2                    
-414.962666667          -2.48825333333e-07      --                      --                      21.9                    20.2                    
-419.960333333          -2.50233e-07            --                      --                      21.9                    20.2                    
-424.961                -2.51922333333e-07      --                      --                      21.9                    20.2                    
-429.963                -2.52490666667e-07      --                      --                      21.9                    20.2                    
-434.963666667          -2.5452e-07             --                      --                      21.9                    20.2                    
-439.964666667          -2.54913333333e-07      --                      --                      21.9                    20.4                    
-444.958                -2.57178666667e-07      --                      --                      21.9                    20.4                    
-449.958666667          -2.58403666667e-07      --                      --                      21.9                    20.4                    
-454.958                -2.60169e-07            --                      --                      21.9                    20.4                    
-459.959                -2.61841333333e-07      --                      --                      21.9                    20.4                    
-464.96                 -2.63347333333e-07      --                      --                      21.9                    20.4                    
-469.962                -2.64957e-07            --                      --                      21.9                    20.4                    
-474.962                -2.66677333333e-07      --                      --                      21.9                    20.5                    
-479.956                -2.68345666667e-07      --                      --                      21.9                    20.5                    
-484.956666667          -2.69914666667e-07      --                      --                      21.9                    20.5                    
-489.956                -2.71884333333e-07      --                      --                      21.9                    20.5                    
-494.957333333          -2.74214333333e-07      --                      --                      21.9                    20.5                    
-499.959                -2.76211333333e-07      --                      --                      21.9                    20.5                    
