# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_2S_39
 # Operator: Dominic
 # Date: Tue Feb 26 10:07:58 2019


voltage[V]              current[A]              voltage[V]              capacitance[F]          temperature[deg]        humidity[rel%]          
0.0111340666667         4.90519666667e-09       0.0                     8.51140333333e-08       21.6                    23.7                    
-4.98592666667          -9.14806e-08            -5.0                    2.65781333333e-08       21.6                    23.4                    
-9.98770666667          -1.05929e-07            -10.0                   1.82595333333e-08       21.6                    23.4                    
-14.9861333333          -1.18802666667e-07      -15.0                   1.47635333333e-08       21.6                    22.9                    
-19.9878666667          -1.31565333333e-07      -20.0                   1.26589666667e-08       21.6                    22.9                    
-24.9891333333          -1.43401333333e-07      -25.0                   1.12162666667e-08       21.6                    22.6                    
-29.9875333333          -1.54300666667e-07      -30.0                   1.01707e-08             21.6                    22.1                    
-34.9887                -1.63728e-07            -35.0                   9.38269333333e-09       21.6                    22.1                    
-39.9878666667          -1.72099333333e-07      -40.0                   8.75174666667e-09       21.6                    21.6                    
-44.9894                -1.78365333333e-07      -45.0                   8.23817333333e-09       21.6                    21.6                    
-49.9875666667          -1.84327666667e-07      -50.0                   7.81200666667e-09       21.6                    21.3                    
-54.9885                -1.89341666667e-07      -55.0                   7.45094e-09             21.6                    20.8                    
-59.9867666667          -1.93478666667e-07      -60.0                   7.12906333333e-09       21.6                    20.8                    
-64.9882333333          -1.96731333333e-07      -65.0                   6.82488333333e-09       21.6                    20.4                    
-69.9895333333          -1.99590666667e-07      -70.0                   6.56871333333e-09       21.6                    20.4                    
-74.9868666667          -2.01837666667e-07      -75.0                   6.34324666667e-09       21.6                    20.1                    
-79.9892666667          -2.04075333333e-07      -80.0                   6.15022333333e-09       21.6                    20.1                    
-84.9872                -2.06126333333e-07      -85.0                   5.97832e-09             21.5                    19.6                    
-89.9889                -2.0768e-07             -90.0                   5.81969e-09             21.5                    19.4                    
-94.9863                -2.08322e-07            -95.0                   5.67393e-09             21.5                    19.4                    
-99.9874                -2.09465e-07            -100.0                  5.53824333333e-09       21.5                    19.0                    
-104.989                -2.10913e-07            -105.0                  5.41172333333e-09       21.5                    19.0                    
-109.986                -2.11116666667e-07      -110.0                  5.29381e-09             21.5                    18.6                    
-114.987666667          -2.12721333333e-07      -115.0                  5.18333e-09             21.5                    18.6                    
-119.985                -2.13401e-07            -120.0                  5.07997333333e-09       21.5                    18.4                    
-124.987                -2.13432e-07            -125.0                  4.98167e-09             21.5                    18.1                    
-129.985                -2.14178666667e-07      -130.0                  4.88996333333e-09       21.5                    18.1                    
-134.986                -2.14803e-07            -135.0                  4.80254e-09             21.5                    18.0                    
-139.988                -2.15276666667e-07      -140.0                  4.72005e-09             21.5                    18.0                    
-144.986333333          -2.15999666667e-07      -145.0                  4.64197333333e-09       21.5                    17.9                    
-149.987                -2.16593e-07            -150.0                  4.56651333333e-09       21.5                    17.8                    
-154.985                -2.17202333333e-07      -155.0                  4.49591e-09             21.5                    17.8                    
-159.986                -2.17911e-07            -160.0                  4.42737666667e-09       21.5                    17.8                    
-164.984                -2.18011e-07            -165.0                  4.36249e-09             21.5                    17.8                    
-169.985333333          -2.18935e-07            -170.0                  4.30006333333e-09       21.5                    17.9                    
-174.985333333          -2.18965666667e-07      -175.0                  4.24025333333e-09       21.5                    17.9                    
-179.984                -2.19338333333e-07      -180.0                  4.18339666667e-09       21.5                    17.9                    
-184.985                -2.19146333333e-07      -185.0                  4.12794666667e-09       21.5                    17.9                    
-189.983                -2.19534e-07            -190.0                  4.07535666667e-09       21.5                    17.9                    
-194.984                -2.20721666667e-07      -195.0                  4.02448e-09             21.5                    18.0                    
-199.982                -2.21468666667e-07      -200.0                  3.97598333333e-09       21.5                    18.0                    
-204.972666667          -2.21481e-07            -205.0                  3.93154666667e-09       21.5                    18.0                    
-209.973333333          -2.21675666667e-07      -210.0                  3.89279666667e-09       21.5                    18.0                    
-214.974                -2.21748e-07            -215.0                  3.86470333333e-09       21.5                    18.0                    
-219.975666667          -2.21957e-07            -220.0                  3.85215e-09             21.5                    18.1                    
-224.976                -2.22239666667e-07      -225.0                  3.84611333333e-09       21.5                    18.1                    
-229.977333333          -2.22945333333e-07      -230.0                  3.84344666667e-09       21.5                    18.1                    
-234.970333333          -2.23202e-07            -235.0                  3.84182666667e-09       21.5                    18.1                    
-239.971333333          -2.23809e-07            -240.0                  3.84068666667e-09       21.5                    18.1                    
-244.972333333          -2.23811666667e-07      -245.0                  3.83945e-09             21.5                    18.2                    
-249.973666667          -2.24166e-07            -250.0                  3.83841666667e-09       21.5                    18.2                    
-254.974                -2.23893666667e-07      -255.0                  3.83777e-09             21.5                    18.3                    
-259.974333333          -2.24766e-07            -260.0                  3.83714333333e-09       21.5                    18.3                    
-264.975333333          -2.25252333333e-07      -265.0                  3.83654333333e-09       21.5                    18.3                    
-269.969                -2.26296666667e-07      -270.0                  3.83606333333e-09       21.5                    18.5                    
-274.969333333          -2.26092e-07            -275.0                  3.83551333333e-09       21.5                    18.5                    
-279.97                 -2.26559333333e-07      -280.0                  3.83501333333e-09       21.5                    18.5                    
-284.972                -2.27789e-07            -285.0                  3.83428666667e-09       21.5                    18.7                    
-289.972                -2.27291666667e-07      -290.0                  3.83328e-09             21.5                    18.7                    
-294.972                -2.27835333333e-07      -295.0                  3.83306666667e-09       21.5                    18.9                    
-299.973                -2.2882e-07             -300.0                  3.83207666667e-09       21.5                    18.9                    
-304.966                -2.29505333333e-07      -305.0                  3.83152333333e-09       21.5                    19.1                    
-309.967                -2.30107333333e-07      -310.0                  3.8311e-09              21.5                    19.4                    
-314.969                -2.30831666667e-07      -315.0                  3.83029e-09             21.5                    19.4                    
-319.969666667          -2.31676333333e-07      -320.0                  3.82988333333e-09       21.5                    19.5                    
-324.97                 -2.32354333333e-07      -325.0                  3.82946e-09             21.5                    19.5                    
-329.971                -2.33585e-07            -330.0                  3.82887666667e-09       21.5                    19.9                    
-334.972333333          -2.33852e-07            -335.0                  3.82880333333e-09       21.5                    19.9                    
-339.965333333          -2.34649e-07            -340.0                  3.82818e-09             21.5                    20.2                    
-344.966                -2.35410666667e-07      -345.0                  3.82792333333e-09       21.5                    20.4                    
-349.968                -2.35995333333e-07      -350.0                  3.82760666667e-09       21.5                    20.4                    
-354.967                -2.37008666667e-07      --                      --                      21.5                    20.4                    
-359.967333333          -2.38279333333e-07      --                      --                      21.5                    20.7                    
-364.968333333          -2.39306e-07            --                      --                      21.5                    20.7                    
-369.969333333          -2.39967666667e-07      --                      --                      21.5                    20.7                    
-374.963                -2.41748e-07            --                      --                      21.5                    20.7                    
-379.964                -2.4326e-07             --                      --                      21.5                    20.7                    
-384.966                -2.43947e-07            --                      --                      21.5                    20.7                    
-389.965                -2.45029e-07            --                      --                      21.5                    20.8                    
-394.966                -2.45859666667e-07      --                      --                      21.5                    20.8                    
-399.967333333          -2.46911333333e-07      --                      --                      21.5                    20.8                    
-404.968666667          -2.48231666667e-07      --                      --                      21.5                    20.8                    
-409.961                -2.49943666667e-07      --                      --                      21.5                    20.8                    
-414.963                -2.50756666667e-07      --                      --                      21.5                    20.8                    
-419.961666667          -2.52429666667e-07      --                      --                      21.5                    21.0                    
-424.961333333          -2.53491666667e-07      --                      --                      21.5                    21.0                    
-429.964                -2.54601e-07            --                      --                      21.5                    21.0                    
-434.964                -2.55920666667e-07      --                      --                      21.5                    21.0                    
-439.965                -2.57594e-07            --                      --                      21.5                    21.0                    
-444.958333333          -2.58819e-07            --                      --                      21.5                    21.0                    
-449.959                -2.61003e-07            --                      --                      21.5                    21.0                    
-454.958666667          -2.62536333333e-07      --                      --                      21.5                    21.2                    
-459.959                -2.63516333333e-07      --                      --                      21.5                    21.2                    
-464.960666667          -2.65193333333e-07      --                      --                      21.5                    21.2                    
-469.962                -2.66749333333e-07      --                      --                      21.5                    21.2                    
-474.962                -2.68922333333e-07      --                      --                      21.5                    21.2                    
-479.956                -2.70088666667e-07      --                      --                      21.5                    21.2                    
-484.956666667          -2.7234e-07             --                      --                      21.5                    21.3                    
-489.956                -2.73713666667e-07      --                      --                      21.5                    21.3                    
-494.958                -2.75795333333e-07      --                      --                      21.5                    21.3                    
-499.959333333          -2.77729e-07            --                      --                      21.5                    21.3                    
-504.866666667          -2.79972e-07            --                      --                      21.5                    21.3                    
-509.887333333          -2.8198e-07             --                      --                      21.5                    21.3                    
-514.878333333          -2.84385666667e-07      --                      --                      21.5                    21.3                    
-519.871                -2.86133666667e-07      --                      --                      21.5                    21.3                    
-524.888666667          -2.88562e-07            --                      --                      21.5                    21.3                    
-529.884                -2.90757e-07            --                      --                      21.5                    21.3                    
-534.876                -2.92512e-07            --                      --                      21.5                    21.3                    
-539.895333333          -2.95266666667e-07      --                      --                      21.5                    21.3                    
-544.886333333          -2.97980666667e-07      --                      --                      21.5                    21.3                    
-549.877333333          -3.00654333333e-07      --                      --                      21.5                    21.4                    
-554.866666667          -3.03080666667e-07      --                      --                      21.5                    21.4                    
-559.886                -3.05559e-07            --                      --                      21.5                    21.4                    
-564.879                -3.08028666667e-07      --                      --                      21.5                    21.4                    
-569.872                -3.10206666667e-07      --                      --                      21.5                    21.4                    
-574.89                 -3.13423666667e-07      --                      --                      21.5                    21.4                    
-579.881666667          -3.16970333333e-07      --                      --                      21.5                    21.4                    
-584.877                -3.19713e-07            --                      --                      21.5                    21.4                    
-589.892666667          -3.22516333333e-07      --                      --                      21.5                    21.4                    
-594.887333333          -3.24863e-07            --                      --                      21.5                    21.4                    
-599.879                -3.28354e-07            --                      --                      21.5                    21.4                    
-604.868666667          -3.31817e-07            --                      --                      21.5                    21.4                    
-609.885                -3.34422e-07            --                      --                      21.5                    21.4                    
-614.882666667          -3.37082333333e-07      --                      --                      21.5                    21.3                    
-619.872666667          -3.40437e-07            --                      --                      21.5                    21.3                    
