# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_2S_38
 # Operator: Dominic
 # Date: Tue Feb 26 09:59:01 2019


voltage[V]              current[A]              voltage[V]              capacitance[F]          temperature[deg]        humidity[rel%]          
0.0108721333333         4.30549666667e-09       0.0                     8.68175333333e-08       21.8                    23.5                    
-4.98614333333          -9.23705e-08            -5.0                    2.63841e-08             21.8                    22.9                    
-9.98793666667          -1.04828666667e-07      -10.0                   1.83345e-08             21.8                    22.7                    
-14.9863666667          -1.15983333333e-07      -15.0                   1.48688666667e-08       21.8                    22.7                    
-19.9879                -1.25211e-07            -20.0                   1.28171666667e-08       21.7                    22.1                    
-24.9891666667          -1.35454333333e-07      -25.0                   1.14021666667e-08       21.7                    22.1                    
-29.9874333333          -1.45234666667e-07      -30.0                   1.03435666667e-08       21.7                    21.9                    
-34.9887666667          -1.56448666667e-07      -35.0                   9.49633e-09             21.7                    21.3                    
-39.9879666667          -1.65508333333e-07      -40.0                   8.82084e-09             21.7                    21.3                    
-44.9896666667          -1.74735666667e-07      -45.0                   8.27439e-09             21.7                    20.8                    
-49.9878666667          -1.82239666667e-07      -50.0                   7.81948333333e-09       21.7                    20.8                    
-54.9888                -1.89663333333e-07      -55.0                   7.43603e-09             21.7                    20.6                    
-59.9871666667          -1.94559333333e-07      -60.0                   7.09948333333e-09       21.7                    20.6                    
-64.9881                -1.98672333333e-07      -65.0                   6.79400666667e-09       21.7                    20.1                    
-69.9899333333          -2.02711333333e-07      -70.0                   6.54138333333e-09       21.7                    19.9                    
-74.9875666667          -2.06052e-07            -75.0                   6.32038333333e-09       21.7                    19.9                    
-79.9896                -2.07888666667e-07      -80.0                   6.12999333333e-09       21.7                    19.4                    
-84.9871666667          -2.1023e-07             -85.0                   5.96023e-09             21.7                    19.4                    
-89.9889333333          -2.11522333333e-07      -90.0                   5.80441333333e-09       21.7                    19.0                    
-94.9866                -2.13226666667e-07      -95.0                   5.66013e-09             21.7                    18.8                    
-99.9881                -2.14966333333e-07      -100.0                  5.52587666667e-09       21.7                    18.8                    
-104.989333333          -2.15390333333e-07      -105.0                  5.40066333333e-09       21.7                    18.5                    
-109.987                -2.16781666667e-07      -110.0                  5.28437e-09             21.7                    18.5                    
-114.988                -2.17337666667e-07      -115.0                  5.17437333333e-09       21.7                    18.3                    
-119.986                -2.18190333333e-07      -120.0                  5.07137666667e-09       21.7                    18.1                    
