# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_11_2S
 # Operator: Dominic
 # Date: Wed Feb 27 08:48:27 2019


# implant_width: 22
# implant_length: 0
# metal_width: 32
# Campaign: Hamamatsu 6inch 2S
# Creator: Dominic Bloech 03.12.2018
# type: p-type
# pitch: 90
# metal_length: 49504
# thickness: 240


Pad                     Istrip                  Rpoly                   Idark                   Cac                     Cint                    Idiel                   Rint                    Temperature             Humidity                
padNumber[#]            current[A]              res[Ohm]                current[A]              cap[F]                  cap[F]                  current[A]              res[Ohm]                degree[C]               rel. percent[rel%]      
39.0                    -1.20716933333e-10      1908580.46022           -2.20970666667e-07      1.48587e-10             4.67267333333e-12       5.517376e-11            --                      22.0                    18.3                    
40.0                    -1.223777e-10           1901078.3188            -2.19853666667e-07      1.48522333333e-10       4.71784e-12             4.95743666667e-11       --                      22.0                    18.4                    
41.0                    -1.19620333333e-10      1909993.90681           -2.19534666667e-07      1.48612666667e-10       4.70220333333e-12       -3.62454666667e-12      --                      22.0                    18.4                    
42.0                    -1.21818466667e-10      1903106.93325           -2.20793e-07            1.48602e-10             4.73954666667e-12       6.77656e-11             --                      22.0                    18.4                    
43.0                    -1.17442866667e-10      1907850.35545           -2.20128333333e-07      1.48604666667e-10       4.72958e-12             -2.52496708333e-11      --                      22.0                    18.4                    
44.0                    -1.094567e-10           1907393.58728           -2.19242e-07            1.48542333333e-10       4.72482333333e-12       2.774644e-11            --                      22.0                    18.5                    
45.0                    -1.30407066667e-10      1904850.2187            -2.20246666667e-07      1.48589e-10             4.73461e-12             -2.54623333333e-12      --                      22.0                    18.5                    
46.0                    -1.18592466667e-10      1909905.2826            -2.20191e-07            1.48596666667e-10       4.73831333333e-12       5.56275686667e-11       --                      22.0                    18.5                    
47.0                    -1.01129996667e-10      1902224.62696           -2.19494e-07            1.48561666667e-10       3.54161333333e-12       -1.69986333333e-11      --                      22.0                    18.5                    
48.0                    -1.33664933333e-10      1911095.08556           -2.19521333333e-07      1.48644333333e-10       4.73392666667e-12       3.59872633333e-11       --                      22.0                    18.5                    
49.0                    -1.148697e-10           1904714.7514            -2.19381e-07            1.48615666667e-10       4.72743e-12             5.768047e-11            --                      22.0                    18.6                    
50.0                    -1.219481e-10           1912242.52991           -2.18995666667e-07      1.48504333333e-10       4.72755666667e-12       3.21275e-11             2.53462618044e+11       22.0                    18.6                    
51.0                    -1.13588533333e-10      1903763.2034            -2.19450666667e-07      1.48541666667e-10       4.72228e-12             1.43033333333e-11       --                      22.0                    18.7                    
52.0                    -1.14610966667e-10      1904695.91509           -2.19380333333e-07      1.48588333333e-10       4.72075666667e-12       4.65802e-11             --                      22.0                    18.7                    
53.0                    -1.142013e-10           1904528.52916           -2.18853e-07            1.48577333333e-10       3.67574333333e-12       -2.61276133333e-11      --                      22.0                    18.7                    
54.0                    -1.21188133333e-10      1898055.27936           -2.18759666667e-07      1.48606666667e-10       4.72859666667e-12       -1.88500333333e-12      --                      22.0                    18.7                    
55.0                    -1.106777e-10           1907146.66525           -2.18238666667e-07      1.48635333333e-10       3.92708333333e-12       3.46985266667e-11       --                      22.0                    18.7                    
56.0                    -1.114985e-10           1902787.95314           -2.18402e-07            1.48576666667e-10       4.73058e-12             5.44214766667e-11       --                      22.0                    18.7                    
57.0                    -1.20830033333e-10      1909820.4311            -2.17837666667e-07      1.48591e-10             4.68082666667e-12       5.20550433333e-11       --                      22.0                    18.7                    
58.0                    -1.07610933333e-10      1900205.6734            -2.18001e-07            1.48612e-10             4.73455333333e-12       3.00313933333e-11       --                      22.0                    18.8                    
59.0                    -1.207609e-10           1904095.87342           -2.18659e-07            1.48615e-10             4.59023e-12             1.118586e-11            --                      22.0                    18.8                    
60.0                    -1.136916e-10           1904881.8516            -2.18090333333e-07      1.45648e-10             4.68781666667e-12       3.45211018667e-11       --                      22.0                    18.8                    
61.0                    -9.91619666667e-11      1906431.07401           -2.18472666667e-07      1.48592333333e-10       4.72636666667e-12       1.025429e-10            --                      22.0                    18.8                    
62.0                    -1.240963e-10           1908565.69303           -2.17817333333e-07      1.48608333333e-10       4.52958333333e-12       5.61733366667e-11       --                      22.0                    18.8                    
63.0                    -1.06189066667e-10      1901516.73067           -2.17166e-07            1.48565e-10             4.72307333333e-12       6.36868e-11             --                      22.0                    18.8                    
64.0                    -1.14366133333e-10      1909244.32361           -2.17922e-07            1.48494333333e-10       4.72752333333e-12       6.94074666667e-11       --                      22.0                    18.8                    
65.0                    -9.99854466667e-11      1903113.09149           -2.17719e-07            1.41547e-10             4.72897333333e-12       -1.49223333333e-12      --                      22.0                    18.8                    
66.0                    -1.185627e-10           1907932.57143           -2.17086333333e-07      1.48557666667e-10       4.73151e-12             5.25865466667e-11       --                      22.0                    18.8                    
67.0                    -1.11681166667e-10      1901962.26883           -2.17786666667e-07      1.48534333333e-10       4.72573e-12             9.40381e-12             --                      22.0                    18.8                    
68.0                    -9.76835666667e-11      1904679.24858           -2.17596333333e-07      1.48268e-10             4.72477333333e-12       1.50881766667e-11       --                      22.0                    18.8                    
69.0                    -1.20709733333e-10      1904374.2941            -2.17558e-07            1.48606333333e-10       4.72635e-12             4.89889566667e-11       --                      22.0                    18.8                    
70.0                    -1.07665333333e-10      1897749.26456           -2.16669e-07            1.46933e-10             4.697e-12               1.57146966667e-11       --                      21.9                    18.8                    
71.0                    -1.060608e-10           1904257.34596           -2.17332333333e-07      1.48637333333e-10       4.72583e-12             5.51625093333e-11       --                      22.0                    18.8                    
72.0                    -1.04204633333e-10      1901755.69859           -2.17862666667e-07      1.48507666667e-10       4.54507666667e-12       2.78565033333e-11       --                      22.0                    18.8                    
73.0                    -1.07402866667e-10      1910715.58364           -2.17327e-07            1.48615666667e-10       4.72021333333e-12       1.27871833333e-11       --                      22.0                    18.8                    
74.0                    -1.07497866667e-10      1901337.67842           -2.17029333333e-07      1.44612333333e-10       3.02856333333e-12       -5.46633333333e-13      --                      22.0                    18.8                    
75.0                    -1.09452666667e-10      1905601.64957           -2.16386333333e-07      1.48523e-10             4.72812e-12             7.36563333333e-12       --                      22.0                    18.8                    
76.0                    -1.06209433333e-10      1903216.52714           -2.16888333333e-07      1.48561333333e-10       3.17935e-12             4.14357033333e-11       --                      22.0                    18.8                    
77.0                    -9.69183666667e-11      1900347.25342           -2.16408e-07            1.48633333333e-10       4.60679333333e-12       7.44302e-11             --                      22.0                    18.8                    
78.0                    -1.080088e-10           1904844.54043           -2.16754333333e-07      1.48630666667e-10       4.72507e-12             2.21762233333e-11       --                      22.0                    18.8                    
79.0                    -1.109287e-10           1899799.37079           -2.167e-07              1.35587333333e-10       4.72264333333e-12       7.61741233333e-11       --                      22.0                    18.8                    
80.0                    -9.453575e-11           1908964.18003           -2.16685e-07            1.48667e-10             4.72797666667e-12       4.12693566667e-11       --                      22.0                    18.8                    
81.0                    -1.13213533333e-10      1905035.91618           -2.16868333333e-07      1.48591e-10             4.72839333333e-12       2.91343333333e-13       --                      22.0                    18.8                    
82.0                    -1.050468e-10           1909158.22997           -2.17277333333e-07      1.48606333333e-10       4.04258666667e-12       9.05667333333e-11       --                      22.0                    18.9                    
83.0                    -9.67960933333e-11      1903512.09894           -2.17302e-07            1.48584e-10             4.73712e-12             -6.29282e-12            --                      22.0                    18.9                    
84.0                    -1.01516326667e-10      1906474.28057           -2.16128333333e-07      1.48598e-10             4.73169666667e-12       6.81350666667e-11       --                      22.0                    18.9                    
85.0                    -1.09316533333e-10      1906220.61691           -2.17057666667e-07      1.23693666667e-10       3.62127e-12             2.37209333333e-12       --                      22.0                    18.9                    
86.0                    -1.029469e-10           1904398.12325           -2.16298666667e-07      1.48701e-10             3.4453e-12              3.35499e-11             --                      22.0                    18.9                    
87.0                    -1.01665266667e-10      1911218.78548           -2.16454333333e-07      1.48656333333e-10       4.73096333333e-12       7.31303333333e-12       --                      22.0                    18.9                    
88.0                    -9.087899e-11           1905544.97724           -2.15786e-07            1.48598e-10             4.72406666667e-12       1.71114833333e-11       --                      22.0                    18.9                    
89.0                    -1.07918666667e-10      1911206.92651           -2.16888e-07            1.48079666667e-10       4.72196333333e-12       7.926391e-11            --                      22.0                    18.9                    
90.0                    -1.065319e-10           1903777.01226           -2.16143666667e-07      1.48646666667e-10       4.7331e-12              -1.5736e-11             --                      22.0                    18.9                    
91.0                    -1.00432956667e-10      1907547.40706           -2.16576e-07            1.48613333333e-10       4.73238e-12             2.244936e-11            --                      22.0                    19.0                    
92.0                    -1.0082584e-10          1906543.13356           -2.16103e-07            1.48552e-10             4.63559333333e-12       8.27258766667e-11       --                      22.0                    19.0                    
93.0                    -9.22290166667e-11      1904764.67066           -2.16122666667e-07      1.48671666667e-10       4.73609e-12             1.19007966667e-10       --                      22.0                    19.0                    
94.0                    -1.07167566667e-10      1909626.78837           -2.15397333333e-07      1.48685e-10             4.56503333333e-12       1.22539566667e-10       --                      22.0                    19.0                    
95.0                    -9.848855e-11           1903404.46395           -2.15415e-07            1.48602333333e-10       4.73633e-12             1.08977e-11             --                      22.0                    19.0                    
96.0                    -9.761518e-11           1909206.83592           -2.15836666667e-07      1.44152333333e-10       4.72731333333e-12       6.48255333333e-11       --                      22.0                    19.0                    
97.0                    -8.96887366667e-11      1902208.43597           -2.15872e-07            1.48625333333e-10       4.71815e-12             3.1865619e-11           --                      22.0                    19.1                    
98.0                    -1.076757e-10           1909927.59449           -2.16420666667e-07      1.48589666667e-10       4.73285666667e-12       -2.303394e-11           --                      22.0                    19.1                    
99.0                    -9.99916066667e-11      1901157.88256           -2.15251333333e-07      1.03529066667e-10       4.66190666667e-12       -5.23933333333e-11      --                      22.0                    19.1                    
100.0                   -9.99748333333e-11      1905536.24755           -2.15629666667e-07      1.43591e-10             4.72214333333e-12       7.56207e-11             2.85229647897e+11       22.0                    19.1                    
101.0                   -9.08497233333e-11      1905477.33488           -2.15362e-07            1.48611333333e-10       4.71855666667e-12       7.40741e-11             --                      22.0                    19.2                    
102.0                   -1.07590333333e-10      1901338.13319           -2.15424666667e-07      1.48676333333e-10       3.18113333333e-12       2.01502033333e-11       --                      22.0                    19.2                    
103.0                   -9.717888e-11           1907939.78943           -2.15926666667e-07      1.48014666667e-10       4.54105666667e-12       4.67161746667e-11       --                      22.0                    19.2                    
104.0                   -9.37982133333e-11      1899328.37205           -2.15461e-07            1.48606666667e-10       4.69652333333e-12       2.77049666667e-11       --                      22.0                    19.2                    
105.0                   -1.05604133333e-10      1908867.13551           -2.15520333333e-07      1.17799e-10             4.73002e-12             2.11232666667e-11       --                      22.0                    19.2                    
106.0                   -8.89842333333e-11      1900772.15709           -2.15914333333e-07      1.48644666667e-10       4.71590666667e-12       1.2595856e-11           --                      22.0                    19.2                    
107.0                   -1.04307e-10            1904980.36791           -2.15597e-07            1.48674333333e-10       4.70887333333e-12       1.68920966667e-11       --                      22.0                    19.2                    
108.0                   -9.553351e-11           1899986.8464            -2.15349666667e-07      1.48604666667e-10       4.72162333333e-12       3.46718133333e-11       --                      22.0                    19.2                    
109.0                   -9.353976e-11           1901545.11737           -2.15018666667e-07      1.48617333333e-10       4.72175333333e-12       6.561931e-11            --                      22.0                    19.2                    
110.0                   -9.802876e-11           1906031.72885           -2.15685333333e-07      1.48609333333e-10       3.60674e-12             8.84631933333e-11       --                      22.0                    19.2                    
111.0                   -9.945501e-11           1901186.66594           -2.15148666667e-07      1.48636666667e-10       4.53419666667e-12       2.726588e-11            --                      22.0                    19.2                    
112.0                   -9.316414e-11           1909105.68677           -2.14863e-07            1.48668333333e-10       4.73447666667e-12       1.10480233333e-10       --                      22.0                    19.2                    
113.0                   -9.683589e-11           1900227.9099            -2.14897e-07            1.48601666667e-10       4.72306666667e-12       4.80174733333e-11       --                      22.0                    19.2                    
114.0                   -9.73081533333e-11      1906589.2337            -2.14996e-07            1.48499e-10             4.73499666667e-12       -7.84203333333e-12      --                      22.0                    19.2                    
115.0                   -8.88833066667e-11      1900747.46568           -2.14968e-07            1.48600333333e-10       4.63402333333e-12       1.555381e-11            --                      22.0                    19.3                    
116.0                   -9.290928e-11           1901845.41316           -2.14111e-07            1.48668e-10             4.73751333333e-12       1.382684e-11            --                      22.0                    19.3                    
117.0                   -1.02362976667e-10      1902813.16908           -2.14699e-07            1.48668e-10             4.70187666667e-12       4.900258e-11            --                      22.0                    19.2                    
118.0                   -9.12467866667e-11      1897461.48538           -2.14304333333e-07      1.48676666667e-10       4.07721333333e-12       1.98336266667e-11       --                      22.0                    19.2                    
119.0                   -9.51888166667e-11      1902578.18767           -2.15284333333e-07      1.45176666667e-10       4.72922e-12             5.31094853333e-11       --                      22.0                    19.2                    
120.0                   -8.98026233333e-11      1898403.88843           -2.14883666667e-07      1.48604333333e-10       4.72651333333e-12       -2.11435533333e-11      --                      22.0                    19.2                    
121.0                   -9.68272833333e-11      1905613.05663           -2.15250666667e-07      1.48657333333e-10       4.72824333333e-12       1.70538633333e-11       --                      22.0                    19.3                    
122.0                   -9.20295966667e-11      1895845.39933           -2.14705e-07            1.48633666667e-10       4.72396333333e-12       1.20806333333e-12       --                      22.0                    19.3                    
