# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_2S_11
 # Operator: Dominic
 # Date: Tue Feb 26 10:52:22 2019


voltage[V]              current[A]              voltage[V]              capacitance[F]          temperature[deg]        humidity[rel%]          
0.0108291333333         4.95728e-09             0.0                     7.69824e-08             21.3                    23.6                    
-4.98614                -8.54497333333e-08      -5.0                    2.58809666667e-08       21.3                    23.3                    
-9.98819                -1.01388e-07            -10.0                   1.79050333333e-08       21.3                    22.8                    
-14.9864                -1.15223e-07            -15.0                   1.44987e-08             21.3                    22.8                    
-19.9881666667          -1.27979666667e-07      -20.0                   1.23903666667e-08       21.3                    22.3                    
-24.9894666667          -1.39074e-07            -25.0                   1.09936666667e-08       21.3                    22.3                    
-29.9875666667          -1.49514666667e-07      -30.0                   9.97251666667e-09       21.3                    22.0                    
-34.9888666667          -1.59248e-07            -35.0                   9.19956333333e-09       21.3                    21.5                    
-39.988                 -1.67182666667e-07      -40.0                   8.59149e-09             21.3                    21.5                    
-44.9892333333          -1.7358e-07             -45.0                   8.08961666667e-09       21.3                    21.0                    
-49.9875333333          -1.79926e-07            -50.0                   7.67113e-09             21.3                    21.0                    
-54.9890666667          -1.8471e-07             -55.0                   7.31580333333e-09       21.3                    20.8                    
-59.9869                -1.88828e-07            -60.0                   7.00919e-09             21.3                    20.3                    
-64.9883333333          -1.92477333333e-07      -65.0                   6.73718e-09             21.3                    20.3                    
-69.9900333333          -1.95379333333e-07      -70.0                   6.48130333333e-09       21.3                    20.1                    
-74.9876333333          -1.97228333333e-07      -75.0                   6.24305666667e-09       21.3                    20.1                    
-79.9897333333          -1.99597666667e-07      -80.0                   6.03716333333e-09       21.3                    19.6                    
-84.9874                -2.01247e-07            -85.0                   5.85281666667e-09       21.3                    19.6                    
-89.9892333333          -2.03435333333e-07      -90.0                   5.69345e-09             21.3                    19.2                    
-94.9866                -2.04707333333e-07      -95.0                   5.54985666667e-09       21.3                    19.0                    
-99.9878333333          -2.05942e-07            -100.0                  5.41709666667e-09       21.3                    19.0                    
-104.989                -2.07094666667e-07      -105.0                  5.29235e-09             21.3                    18.6                    
-109.987                -2.08229666667e-07      -110.0                  5.17681333333e-09       21.3                    18.6                    
-114.988                -2.08637333333e-07      -115.0                  5.06861e-09             21.3                    18.4                    
-119.986                -2.09314666667e-07      -120.0                  4.96619333333e-09       21.3                    18.1                    
-124.987                -2.10768666667e-07      -125.0                  4.87076e-09             21.3                    18.1                    
-129.985                -2.11308333333e-07      -130.0                  4.78012e-09             21.3                    17.9                    
-134.986                -2.11271e-07            -135.0                  4.69413e-09             21.3                    17.9                    
-139.988                -2.12008333333e-07      -140.0                  4.61357666667e-09       21.3                    17.8                    
-144.987                -2.13228666667e-07      -145.0                  4.53656e-09             21.3                    17.7                    
-149.987                -2.13478666667e-07      -150.0                  4.46259666667e-09       21.3                    17.7                    
-154.985                -2.13986666667e-07      -155.0                  4.39309666667e-09       21.3                    17.7                    
-159.986                -2.14194666667e-07      -160.0                  4.32594333333e-09       21.3                    17.7                    
-164.984                -2.14525e-07            -165.0                  4.26234e-09             21.3                    17.7                    
-169.986                -2.15634666667e-07      -170.0                  4.20098e-09             21.3                    17.7                    
-174.985333333          -2.15531666667e-07      -175.0                  4.14247333333e-09       21.3                    17.8                    
-179.984                -2.16466333333e-07      -180.0                  4.08627e-09             21.3                    17.9                    
-184.985333333          -2.15610666667e-07      -185.0                  4.03243e-09             21.3                    17.9                    
-189.983                -2.16561e-07            -190.0                  3.98111333333e-09       21.3                    17.9                    
-194.984                -2.17242e-07            -195.0                  3.93318e-09             21.3                    17.9                    
-199.982                -2.17346666667e-07      -200.0                  3.89209e-09             21.3                    17.9                    
-204.973                -2.18123666667e-07      -205.0                  3.86369333333e-09       21.3                    17.9                    
-209.974                -2.18205333333e-07      -210.0                  3.85006e-09             21.3                    17.9                    
-214.974666667          -2.19091333333e-07      -215.0                  3.84532666667e-09       21.3                    17.9                    
-219.977                -2.19466666667e-07      -220.0                  3.84304333333e-09       21.3                    17.9                    
-224.977                -2.19382333333e-07      -225.0                  3.84206666667e-09       21.3                    18.0                    
-229.977                -2.20358e-07            -230.0                  3.84147666667e-09       21.3                    18.0                    
