# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_2S_19
 # Operator: Dominic
 # Date: Tue Feb 26 09:42:56 2019


voltage[V]              current[A]              voltage[V]              capacitance[F]          temperature[deg]        humidity[rel%]          
0.0108325333333         4.59014666667e-09       0.0                     8.07277666667e-08       22.0                    31.9                    
-4.98611                -8.92996333333e-08      -5.0                    2.65229e-08             22.0                    31.9                    
-9.98811                -1.04256e-07            -10.0                   1.83166333333e-08       22.0                    32.1                    
-14.9864666667          -1.17670333333e-07      -15.0                   1.48613333333e-08       22.0                    32.1                    
-19.9877333333          -1.28481666667e-07      -20.0                   1.27369e-08             22.0                    32.1                    
-24.9889666667          -1.39430666667e-07      -25.0                   1.13229666667e-08       22.0                    32.1                    
-29.9876                -1.49522666667e-07      -30.0                   1.02812333333e-08       22.0                    32.1                    
-34.9887666667          -1.58493666667e-07      -35.0                   9.47424333333e-09       22.0                    32.0                    
-39.9878333333          -1.67092e-07            -40.0                   8.82758666667e-09       22.0                    31.7                    
-44.9893                -1.74568666667e-07      -45.0                   8.29935333333e-09       22.0                    31.7                    
-49.9875                -1.81148e-07            -50.0                   7.85768333333e-09       22.0                    31.2                    
-54.9889                -1.86872333333e-07      -55.0                   7.48507e-09             22.0                    31.2                    
-59.9871666667          -1.91297333333e-07      -60.0                   7.16615333333e-09       22.0                    30.9                    
-64.9884666667          -1.95719e-07            -65.0                   6.87972666667e-09       22.0                    30.3                    
-69.9899666667          -1.97811666667e-07      -70.0                   6.61228333333e-09       22.0                    30.3                    
-74.9875333333          -2.00931333333e-07      -75.0                   6.37795666667e-09       22.0                    29.9                    
-79.9895666667          -2.02986e-07            -80.0                   6.16990333333e-09       22.0                    29.9                    
-84.9874666667          -2.04504333333e-07      -85.0                   5.98848666667e-09       22.0                    29.2                    
-89.9891                -2.06061666667e-07      -90.0                   5.82823666667e-09       22.0                    29.2                    
-94.9869333333          -2.07319333333e-07      -95.0                   5.68186333333e-09       22.0                    28.6                    
-99.9881666667          -2.08309333333e-07      -100.0                  5.54554666667e-09       22.0                    28.2                    
-104.989333333          -2.08888666667e-07      -105.0                  5.41856666667e-09       22.0                    28.2                    
-109.987                -2.10696666667e-07      -110.0                  5.30031e-09             22.0                    27.6                    
-114.988                -2.10692666667e-07      -115.0                  5.18925666667e-09       22.0                    27.6                    
-119.986                -2.12285333333e-07      -120.0                  5.08517333333e-09       22.0                    27.2                    
-124.987                -2.12520333333e-07      -125.0                  4.98728666667e-09       22.0                    26.6                    
-129.985                -2.12721666667e-07      -130.0                  4.89473333333e-09       22.0                    26.6                    
-134.986                -2.13458333333e-07      -135.0                  4.80691e-09             22.0                    25.9                    
-139.988                -2.14461e-07            -140.0                  4.72404e-09             22.0                    25.9                    
-144.987                -2.15325333333e-07      -145.0                  4.64505e-09             22.0                    25.6                    
-149.987333333          -2.16028333333e-07      -150.0                  4.57058666667e-09       22.0                    25.0                    
-154.985                -2.15831333333e-07      -155.0                  4.49867e-09             22.0                    25.0                    
-159.986                -2.16355666667e-07      -160.0                  4.43065333333e-09       22.0                    24.7                    
-164.984666667          -2.16717333333e-07      -165.0                  4.36525333333e-09       22.0                    24.7                    
-169.986                -2.16657333333e-07      -170.0                  4.30228666667e-09       22.0                    24.1                    
-174.986                -2.17141666667e-07      -175.0                  4.24256e-09             22.0                    23.6                    
-179.984                -2.17829e-07            -180.0                  4.1849e-09              22.0                    23.6                    
-184.985333333          -2.18166e-07            -185.0                  4.12970333333e-09       22.0                    23.3                    
-189.983                -2.18584333333e-07      -190.0                  4.07653e-09             22.0                    23.3                    
-194.984                -2.18958333333e-07      -195.0                  4.02545666667e-09       22.0                    22.7                    
-199.982                -2.19041666667e-07      -200.0                  3.97696e-09             22.0                    22.5                    
-204.972                -2.20195666667e-07      -205.0                  3.93220333333e-09       22.0                    22.5                    
-209.973                -2.20591e-07            -210.0                  3.89317333333e-09       22.0                    21.9                    
-214.974                -2.19787e-07            -215.0                  3.86794e-09             22.0                    21.9                    
-219.976                -2.20456e-07            -220.0                  3.85817333333e-09       22.0                    21.4                    
-224.976                -2.20272e-07            -225.0                  3.85356e-09             22.0                    21.2                    
-229.977                -2.2141e-07             -230.0                  3.85100333333e-09       22.0                    21.2                    
-234.97                 -2.22054333333e-07      -235.0                  3.84977666667e-09       22.0                    20.7                    
-239.971                -2.21832666667e-07      -240.0                  3.84915666667e-09       22.0                    20.7                    
-244.972                -2.21944666667e-07      -245.0                  3.84794e-09             22.0                    20.4                    
-249.974                -2.21821e-07            -250.0                  3.84622e-09             22.0                    20.0                    
-254.974666667          -2.22745e-07            -255.0                  3.84524666667e-09       22.0                    20.0                    
-259.975                -2.23141666667e-07      -260.0                  3.84423666667e-09       22.0                    19.7                    
