IV_GCD Run started at: 
14.06.2018  11:54:13
Voltage [V]   Current [A]
6.6000E+0	5.6378E-10
6.7000E+0	5.6377E-10
6.8000E+0	5.6377E-10
6.9000E+0	5.6367E-10
7.0000E+0	5.6367E-10
7.1000E+0	5.6368E-10
7.2000E+0	5.6365E-10
7.3000E+0	5.6362E-10
7.4000E+0	5.6359E-10
7.5000E+0	5.6361E-10
7.6000E+0	5.6359E-10
7.7000E+0	5.6355E-10
7.8000E+0	5.6348E-10
7.9000E+0	5.6349E-10
8.0000E+0	5.6349E-10

Fit Results from IV GCD
Surface Current [A] = 7.24E-11
Vfb [V] = 3.40E+0
Surface recombination velocity [cm/s] = 1.97E+0

