!# This pad file is for the IFX 2S sensor for the 8-inch runs

Campaign: Infineon 8-inch 2S					
Creator: Dominic Bloech 11.1.2018
				
reference pad: 1			
reference pad: 127				
reference pad: 128			

pad strip	x	y	z				
142	142	-10080	-11871	0	10000
143	143	-9990	-11871	0	10000
144	144	-9900	-11871	0	10000
145	145	-9810	-11871	0	10000
146	146	-9720	-11871	0	10000
147	147	-9630	-11871	0	10000
148	148	-9540	-11871	0	10000
149	149	-9450	-11871	0	10000
150	150	-9360	-11871	0	10000
151	151	-9270	-11871	0	10000
152	152	-9180	-11871	0	10000
153	153	-9090	-11871	0	10000
154	154	-9000	-11871	0	10000
155	155	-8910	-11871	0	10000
156	156	-8820	-11871	0	10000
157	157	-8730	-11871	0	10000
158	158	-8640	-11871	0	10000
159	159	-8550	-11871	0	10000
160	160	-8460	-11871	0	10000
161	161	-8370	-11871	0	10000
162	162	-8280	-11871	0	10000
163	163	-8190	-11871	0	10000
164	164	-8100	-11871	0	10000
165	165	-8010	-11871	0	10000
166	166	-7920	-11871	0	10000
167	167	-7830	-11871	0	10000
168	168	-7740	-11871	0	10000
169	169	-7650	-11871	0	10000
170	170	-7560	-11871	0	10000
171	171	-7470	-11871	0	10000
172	172	-7380	-11871	0	10000
173	173	-7290	-11871	0	10000
174	174	-7200	-11871	0	10000
175	175	-7110	-11871	0	10000
176	176	-7020	-11871	0	10000
177	177	-6930	-11871	0	10000
178	178	-6840	-11871	0	10000
179	179	-6750	-11871	0	10000
180	180	-6660	-11871	0	10000
181	181	-6570	-11871	0	10000
182	182	-6480	-11871	0	10000
183	183	-6390	-11871	0	10000
184	184	-6300	-11871	0	10000
185	185	-6210	-11871	0	10000
186	186	-6120	-11871	0	10000
187	187	-6030	-11871	0	10000
188	188	-5940	-11871	0	10000
189	189	-5850	-11871	0	10000
190	190	-5760	-11871	0	10000
191	191	-5670	-11871	0	10000
192	192	-5580	-11871	0	10000
193	193	-5490	-11871	0	10000
194	194	-5400	-11871	0	10000
195	195	-5310	-11871	0	10000
196	196	-5220	-11871	0	10000
197	197	-5130	-11871	0	10000
198	198	-5040	-11871	0	10000
199	199	-4950	-11871	0	10000
200	200	-4860	-11871	0	10000
201	201	-4770	-11871	0	10000
202	202	-4680	-11871	0	10000
203	203	-4590	-11871	0	10000
204	204	-4500	-11871	0	10000
205	205	-4410	-11871	0	10000
206	206	-4320	-11871	0	10000
207	207	-4230	-11871	0	10000
208	208	-4140	-11871	0	10000
209	209	-4050	-11871	0	10000
210	210	-3960	-11871	0	10000
211	211	-3870	-11871	0	10000
212	212	-3780	-11871	0	10000
213	213	-3690	-11871	0	10000
214	214	-3600	-11871	0	10000
215	215	-3510	-11871	0	10000
216	216	-3420	-11871	0	10000
217	217	-3330	-11871	0	10000
218	218	-3240	-11871	0	10000
219	219	-3150	-11871	0	10000
220	220	-3060	-11871	0	10000
221	221	-2970	-11871	0	10000
222	222	-2880	-11871	0	10000
223	223	-2790	-11871	0	10000
224	224	-2700	-11871	0	10000
225	225	-2610	-11871	0	10000
226	226	-2520	-11871	0	10000
227	227	-2430	-11871	0	10000
228	228	-2340	-11871	0	10000
229	229	-2250	-11871	0	10000
230	230	-2160	-11871	0	10000
231	231	-2070	-11871	0	10000
232	232	-1980	-11871	0	10000
233	233	-1890	-11871	0	10000
234	234	-1800	-11871	0	10000
235	235	-1710	-11871	0	10000
236	236	-1620	-11871	0	10000
237	237	-1530	-11871	0	10000
238	238	-1440	-11871	0	10000
239	239	-1350	-11871	0	10000
240	240	-1260	-11871	0	10000
241	241	-1170	-11871	0	10000
242	242	-1080	-11871	0	10000
243	243	-990	-11871	0	10000
244	244	-900	-11871	0	10000
245	245	-810	-11871	0	10000
246	246	-720	-11871	0	10000
247	247	-630	-11871	0	10000
248	248	-540	-11871	0	10000
249	249	-450	-11871	0	10000
250	250	-360	-11871	0	10000
251	251	-270	-11871	0	10000
252	252	-180	-11871	0	10000
253	253	-90	-11871	0	10000
254	254	0	-11871	0	10000
255	255	-11340	-11871	0	10000
