# This pad file is for the IFX 2SBaby sensor for the 8-inch runs

Campaign: Infineon 8-inch SensorBaby					
Creator: Dominic Bloech 21.12.2017
				
reference pad: 1			
reference pad: 254 					
reference pad: 127			

pad strip	x	y	z
239	239	21420	0	0	 
240	240	21510	0	0	 
241	241	21600	0	0	 
242	242	21690	0	0	 
243	243	21780	0	0	 
244	244	21870	0	0	 
245	245	21960	0	0	 
246	246	22050	0	0	 
247	247	22140	0	0	 
248	248	22230	0	0	 
249	249	22320	0	0	 
250	250	22410	0	0	 
251	251	22500	0	0	 
252	252	22590	0	0	 
253	253	22680	0	0	 
254	254	22770	0	0 
