# This pad file is for the HPK 2S sensor for the 6inch runs, contact in the middle

Campaign: Hamamatsu 6inch 2S					
Creator: Dominic Bloech 03.12.2018
				
reference pad: 2			
reference pad: 1017					
reference pad: 1016

# Additional parameters
implant_length: 0
metal_width: 32
implant_width: 22
metal_length: 49504
pitch: 90
thickness: 240
type: p-type

strip	x	y	z
304	0	-27270	0
305	0	-27360	0
306	0	-27450	0
307	0	-27540	0
308	0	-27630	0
309	0	-27720	0
310	0	-27810	0
311	0	-27900	0
312	0	-27990	0
313	0	-28080	0
314	0	-28170	0
315	0	-28260	0
316	0	-28350	0
317	0	-28440	0
318	0	-28530	0
319	0	-28620	0
320	0	-28710	0
321	0	-28800	0
322	0	-28890	0
323	0	-28980	0
324	0	-29070	0
325	0	-29160	0
326	0	-29250	0
327	0	-29340	0
328	0	-29430	0
329	0	-29520	0
330	0	-29610	0
331	0	-29700	0
332	0	-29790	0
333	0	-29880	0
334	0	-29970	0
335	0	-30060	0
336	0	-30150	0
337	0	-30240	0
338	0	-30330	0
339	0	-30420	0
340	0	-30510	0
341	0	-30600	0
342	0	-30690	0
343	0	-30780	0
344	0	-30870	0
345	0	-30960	0
346	0	-31050	0
347	0	-31140	0
348	0	-31230	0
349	0	-31320	0
350	0	-31410	0
351	0	-31500	0
352	0	-31590	0
353	0	-31680	0
354	0	-31770	0
355	0	-31860	0
356	0	-31950	0
357	0	-32040	0
358	0	-32130	0
359	0	-32220	0
360	0	-32310	0
361	0	-32400	0
362	0	-32490	0
363	0	-32580	0
364	0	-32670	0
365	0	-32760	0
366	0	-32850	0
367	0	-32940	0
368	0	-33030	0
369	0	-33120	0
370	0	-33210	0
371	0	-33300	0
372	0	-33390	0
373	0	-33480	0
374	0	-33570	0
375	0	-33660	0
376	0	-33750	0
377	0	-33840	0
378	0	-33930	0
379	0	-34020	0
380	0	-34110	0
381	0	-34200	0
382	0	-34290	0
383	0	-34380	0
384	0	-34470	0
385	0	-34560	0
386	0	-34650	0
387	0	-34740	0
388	0	-34830	0
389	0	-34920	0
390	0	-35010	0
391	0	-35100	0
392	0	-35190	0
393	0	-35280	0
394	0	-35370	0
395	0	-35460	0
396	0	-35550	0
397	0	-35640	0
398	0	-35730	0
399	0	-35820	0
400	0	-35910	0
401	0	-36000	0
402	0	-36090	0
403	0	-36180	0
404	0	-36270	0
405	0	-36360	0
406	0	-36450	0
407	0	-36540	0
408	0	-36630	0
409	0	-36720	0
410	0	-36810	0
411	0	-36900	0
412	0	-36990	0
413	0	-37080	0
414	0	-37170	0
415	0	-37260	0
416	0	-37350	0
417	0	-37440	0
418	0	-37530	0
419	0	-37620	0
420	0	-37710	0
421	0	-37800	0
422	0	-37890	0
423	0	-37980	0
424	0	-38070	0
425	0	-38160	0
426	0	-38250	0
427	0	-38340	0
428	0	-38430	0
429	0	-38520	0
430	0	-38610	0
431	0	-38700	0
432	0	-38790	0
433	0	-38880	0
434	0	-38970	0
435	0	-39060	0
436	0	-39150	0
437	0	-39240	0
438	0	-39330	0
439	0	-39420	0
440	0	-39510	0
441	0	-39600	0
442	0	-39690	0
443	0	-39780	0
444	0	-39870	0
445	0	-39960	0
446	0	-40050	0
447	0	-40140	0
448	0	-40230	0
449	0	-40320	0
450	0	-40410	0
451	0	-40500	0
452	0	-40590	0
453	0	-40680	0
454	0	-40770	0
455	0	-40860	0
456	0	-40950	0
457	0	-41040	0
458	0	-41130	0
459	0	-41220	0
460	0	-41310	0
461	0	-41400	0
462	0	-41490	0
